Accepted or not,timestamp,IP_SRC,IP_DST,PORT_SRC,PORT_DST
A,Fri May 17 15:31:50 2024,10.10.6.41,10.10.6.40,36350,5241
A,Fri May 17 15:31:51 2024,10.10.6.41,10.10.6.42,52734,5241
A,Fri May 17 15:31:53 2024,10.10.6.41,10.10.6.42,52736,5241
A,Fri May 17 15:31:57 2024,10.10.6.41,10.10.6.40,36356,5241
A,Fri May 17 15:32:03 2024,10.10.6.41,10.10.6.42,52740,5241
A,Fri May 17 15:32:04 2024,10.10.6.41,10.10.6.40,36360,5241
A,Fri May 17 15:32:14 2024,10.10.6.41,10.10.6.42,52744,5241
A,Fri May 17 15:32:14 2024,10.10.6.41,10.10.6.40,36364,5241
A,Fri May 17 15:32:19 2024,10.10.6.41,10.10.6.40,36366,5241
A,Fri May 17 15:32:21 2024,10.10.6.41,10.10.6.40,36368,5241
A,Fri May 17 15:32:21 2024,10.10.6.41,10.10.6.42,52752,5241
